source_row,name,status,changes,record_id,record_id_changed,published,in_baseline,gate_reasons,source_category,visual_classification,classification,name_signal,name_verdict,subcategory_verdict,outlier,resolved_by,reviewer,reason,reason_detail,color_flag,color_flag_confidence,classification_override,attribute_overrides,changed_fields,merchant_name,corrected_name,enrichment_run
3,Jeweled Bracelet Watch,ADDED,,generated:85016c9f706fe2fe,,True,False,,jewelry/bracelet,jewelry/bracelets,jewelry/bracelets,,silent,corroborates,,uncontested,,,,,,,,,,,fashion-enriched-authoritative-v3-20260714
28,Opulent Velvet Ballet Flats,DROPPED,,generated:7e7a8f3ad4b412b8,,False,False,UNRESOLVED_PRODUCT_CLASSIFICATION,footwear/shoes,footwear/heels,,footwear.flats,contradicts,compatible,,,,UNRESOLVED_PRODUCT_CLASSIFICATION,"The product name and the image identify different product types, and the subcategory column is too coarse to break the tie. Fix: add a reviewed decision naming the correct classification, or correct the source row.",,,,,,,,
30,Kaleidoscope Crossbody Bag,DROPPED,,generated:4581a6ad1af3d486,,False,False,DUPLICATE_NAME_IMAGE,accessories/bag,,,,,,,,rkharwar@nvidia.com,REVIEWER_EXCLUDED,A reviewer removed this row from the catalog. The decision file names who and why.,,,,,,,,
32,Polished Pebble Grain Purse,UPDATED,"classification bags/shoulder_bags -> bags/satchels; 4 field(s) differ: bag_closure, composition, enriched_description, pattern",generated:a6d4199d4c15b6a8,True,True,True,,accessories/bag,bags/satchels,bags/satchels,,silent,compatible,,uncontested,,,,,,,,"bag_closure, composition, enriched_description, pattern",,,fashion-enriched-authoritative-v3-20260714
37,Navy Velvet Trim Sweater Blouse,ADDED,,generated:b49bb96ee2ba5255,,True,False,,apparel/top blouse sweater,apparel/blouses,apparel/blouses,,silent,compatible,,uncontested,,,,,,,,,,,fashion-enriched-authoritative-v3-20260714
38,Kaleidoscope Crossbody Bag,ADDED,,generated:10b80fefeabe920d,,True,False,DUPLICATE_NAME_IMAGE,accessories/bag,bags/crossbody_bags,bags/crossbody_bags,bags.crossbody_bags,corroborates,compatible,,signal_majority,,,,,,,,,,,fashion-enriched-full-20260713
43,Aria Aviator Sunglasses,ADDED,,generated:fbba458c25e0d4d7,,True,False,,accessories/sunglasses,eyewear/sunglasses,eyewear/sunglasses,eyewear.sunglasses,corroborates,corroborates,,uncontested,,,,,,,,,,,fashion-enriched-authoritative-v3-20260714
51,Ultra Soft Cashmere Blend Sweater Blouse,ADDED,,generated:299c397aa8d0d104,,True,False,,apparel/top blouse sweater,apparel/sweaters,apparel/sweaters,,silent,compatible,,uncontested,,,,,,,,,,,fashion-enriched-authoritative-v3-20260714
52,Sleek Stiletto Heels in Navy,UPDATED,"3 field(s) differ: composition, enriched_description, primary_color",generated:efe959e60ada8838,True,True,True,,footwear/shoes,footwear/heels,footwear/heels,footwear.heels,corroborates,compatible,,uncontested,,,,,,,primary_color='navy',"composition, enriched_description, primary_color",,,fashion-enriched-authoritative-v3-20260714
62,Mocha Gradient Sunglasses,UPDATED,"2 field(s) differ: enriched_description, primary_color",generated:526908904fdfe725,True,True,True,,accessories/sunglasses,eyewear/sunglasses,eyewear/sunglasses,eyewear.sunglasses,corroborates,corroborates,,uncontested,,,,,,,primary_color='brown',"enriched_description, primary_color",,,fashion-enriched-authoritative-v3-20260714
75,Elegant Embroidered Espadrilles,UPDATED,1 field(s) differ: enriched_description,generated:17e63c6e18787448,True,True,True,,footwear/shoes,footwear/sandals,footwear/flats,,silent,compatible,,uncontested,rkharwar@nvidia.com,,,,,footwear/sandals -> footwear/flats,,enriched_description,,,fashion-enriched-authoritative-v3-20260714
78,Navy Gradient Sunglasses,UPDATED,"2 field(s) differ: enriched_description, primary_color",generated:97e540247743543e,True,True,True,,accessories/sunglasses,eyewear/sunglasses,eyewear/sunglasses,eyewear.sunglasses,corroborates,corroborates,,uncontested,,,,,,,primary_color='navy',"enriched_description, primary_color",,,fashion-enriched-authoritative-v3-20260714
89,Kaleidoscope Floral Maxi Skirt,DROPPED,,generated:0c562ca0be1d3c65,,False,False,IMAGE_NOT_FOUND,apparel/skirt,,,,,,,,,NO_FROZEN_ENRICHMENT,"No enrichment exists for this row in any of the supplied runs, so there is no description or attributes to publish. Fix: resolve the underlying gate reason, then re-run enrichment. Gate reason: IMAGE_NOT_FOUND.",,,,,,,,
96,Luminous Lace Blouse Sweater,UNCHANGED,,generated:2351801aab405013,True,True,True,UNRESOLVED_PRODUCT_CLASSIFICATION,apparel/top blouse sweater,apparel/blouses,apparel/blouses,,silent,compatible,,signal_majority,,,,,,,,,,,fashion-enriched-authoritative-v2-20260713
115,Ocean Wave Espadrille Heels,UNCHANGED,,generated:7939713c00181117,True,True,True,UNRESOLVED_PRODUCT_CLASSIFICATION,footwear/shoes,footwear/sandals,footwear/sandals,footwear.heels,compatible,compatible,,signal_majority,,,,,,,,,,,fashion-enriched-authoritative-v2-20260713
118,Woven Lace Blouse Sweater,ADDED,,generated:85ce338ad34bfa84,,True,False,UNRESOLVED_PRODUCT_CLASSIFICATION,apparel/top blouse sweater,apparel/blouses,apparel/blouses,,silent,compatible,,signal_majority,,,,,,,,,,,fashion-enriched-full-20260713
124,Polished Peplum Pullover Sweater,UPDATED,"3 field(s) differ: enriched_description, pattern, silhouette",generated:8a785791aa953d49,True,True,True,,apparel/top blouse sweater,apparel/sweaters,apparel/sweaters,apparel.knitwear.sweaters,corroborates,compatible,,uncontested,,,,,,,primary_color='beige',"enriched_description, pattern, silhouette",,,fashion-enriched-authoritative-v3-20260714
148,Navy Leather Everyday Bag,UNCHANGED,,generated:2788f25f47e9efc7,True,True,True,UNRESOLVED_PRODUCT_CLASSIFICATION,accessories/bag,bags/crossbody_bags,bags/crossbody_bags,,silent,compatible,,signal_majority,,,,,,,,,,,fashion-enriched-authoritative-v2-20260713
161,Jewel Sequin Jumpsuit,ADDED,source subcategory disagrees with published class,generated:00cf1559ef247d7a,,True,False,UNRESOLVED_PRODUCT_CLASSIFICATION,apparel/dress,apparel/jumpsuits,apparel/jumpsuits,apparel.jumpsuits,corroborates,contradicts,subcategory,signal_majority,,,,,,,,,,,fashion-enriched-full-20260713
172,Belleza Ballet Heels in Silver,UPDATED,classification footwear/flats -> footwear/heels,generated:86457bab3513c7ad,True,True,True,UNRESOLVED_PRODUCT_CLASSIFICATION,footwear/shoes,footwear/flats,footwear/heels,footwear.heels,contradicts,compatible,,reviewed_decision,rkharwar@nvidia.com,,,,,footwear/flats -> footwear/heels,,,,,fashion-enriched-authoritative-v2-20260713
182,Kaleidoscope Floral Print Dress,ADDED,source name disagrees with published class,generated:0bfc00fb0bc31408,,True,False,UNRESOLVED_PRODUCT_CLASSIFICATION,apparel/skirt,apparel/skirts,apparel/skirts,apparel.dresses,contradicts,corroborates,name,signal_majority,,,,,,,,,Kaleidoscope Floral Print Dress,Kaleidoscope Floral Print Skirt,fashion-enriched-full-20260713
186,Vintage Vignette Sunglasses,ADDED,,generated:6b55bb5c1f7b33d8,,True,False,,accessories/sunglasses,eyewear/sunglasses,eyewear/sunglasses,eyewear.sunglasses,corroborates,corroborates,,uncontested,,,,,,,,,,,fashion-enriched-authoritative-v3-20260714
198,Vivacious Velvet Dress,ADDED,source subcategory disagrees with published class,generated:e290328fa812a6d7,,True,False,UNRESOLVED_PRODUCT_CLASSIFICATION,apparel/top blouse sweater,apparel/dresses,apparel/dresses,apparel.dresses,corroborates,contradicts,subcategory,signal_majority,,,,,,,,,,,fashion-enriched-full-20260713
205,Classic Black Patent Leather Purse,UNCHANGED,,generated:3b3fe0a6306acd2a,True,True,True,UNRESOLVED_PRODUCT_CLASSIFICATION,accessories/bag,bags/tote_bags,bags/tote_bags,,silent,compatible,,signal_majority,,,,,,,,,,,fashion-enriched-authoritative-v2-20260713
